編號,據點名稱,聯絡人,職稱,電話,分機,郵遞區號,據點地址,定期集中用餐狀況,成立年份,最後更新時間
"1","社團法人新竹縣愛鄰社區關懷協會","陳佳旻","樂齡專員","(03)5588577","1214","302","新竹縣竹北市斗崙里嘉勤南路86號","每日供餐(一般據點)","109年","114/04/14"
"2","竹北市竹義社區發展協會","林清隆","理事長","0936267345","","302","新竹縣竹北市福德街67號4樓","每週四 (一般據點)","96年","114/04/14"
"3","竹北市竹仁社區發展協會","鄭素真","總幹事","0920111891","","302","新竹縣竹北市竹仁里文化街148巷1號","每週3、5","109年","114/04/14"
"4","竹北市農友協進會","林庭義","理事長","0910591317","","302","新竹縣竹北市大義里鳳岡路3段201號","週2、3、4","108年","114/04/14"
"5","竹北市中興社區發展協會","徐定國","總幹事","0939250738","","302","新竹縣竹北市嘉豐南路1段11號","每週5次","106年","114/04/14"
"6","竹北市竹北社區發展協會","田梅春","理事長","0912536942","","302","新竹縣竹北市中山路236號","每週5次","106年","114/04/14"
"7","竹北市大眉社區發展協會","陳蔡彩霞","總幹事","0918037901","","302","新竹縣竹北市大眉里鳳岡路一段178號","每週5次","100年","114/04/14"
"8","竹北市新國社區發展協會","彭德昌","理事長","0932168899","","302","新竹縣竹北市華興一街160號2樓","每週5次","106年","114/04/14"
"9","竹北市鹿場社區發展協會","鄭瑞琴","理事長","0953503672","","302","新竹縣竹北市福興東路一段365號","每週5次","109年","114/04/14"
"10","竹北市十興社區發展協會","毛綱?","據點治療師","0931203437","","302","新竹縣竹北市十興里莊敬二街9號","每週5次","111年","114/04/14"
"11","竹北市隘口社區發展協會","藍木清","理事長","0932378053","","302","新竹縣竹北市隘口里隘口七街19號1樓","每週5次","106年","114/04/14"
"12","芎林鄉永興社區發展協會","官秋蓉","理事長","0936336265","","307","新竹縣芎林鄉永興村王爺坑7鄰39之3號","每週4","108年","114/04/14"
"13","芎林鄉芎林社區發展協會","劉代慶","總幹事","0955693703","","307","新竹縣芎林鄉芎林村文富街39號","每週3","108年","114/04/14"
"14","芎林鄉石潭社區發展協會","羅傳軍","志工隊長","0936453110","","307","新竹縣芎林鄉石潭村福昌街300巷47號","每週4","108年","114/04/14"
"15","芎林鄉上山社區發展協會","邱杏嫻","理事長","0988211252","","307","新竹縣芎林鄉上山村綠獅三街6號","每週1、3、5","113年","114/04/14"
"16","芎林鄉芎林亮起來發展協會","陳春園","理事長","0933859410","","307","新竹縣芎林鄉新鳳村文衡路420號","每週5","114年","114/04/14"
"17","新埔鎮旱坑社區發展協會","呂易丞","理事長","0980003875","","305","新竹縣新埔鎮旱坑里旱坑路一段87號","每週3","113年","114/04/14"
"18","新埔鎮文山社區發展協會","梁和龍","總幹事","0920423880","","305","新竹縣新埔鎮文山一街69號","每週4","111年","114/04/14"
"19","新埔鎮北平社區發展協會","蘇樺婷","總幹事","0930030469","","305","新竹縣新埔鎮北平里10鄰89號","每週1、3、5","109年","114/04/14"
"20","新埔鎮五埔社區發展協會","吳家水","常務監事","0930786980","","305","新竹縣新埔鎮五埔里新關路五埔段507巷71號","每週1、3、5","108年","114/04/14"
"21","新埔鎮南平社區發展協會","黃成進","理事長","0926297170","","305","新竹縣新埔鎮南平路558號","每週5次","103年","114/04/14"
"22","新埔鎮下寮社區發展協會","林保全","志工隊長","0952976731","","305","新竹縣新埔鎮下寮里義民路三段313號","每週5次","100年","114/04/14"
"23","新竹縣吧哩國故事協會","林月琴","理事長","0975904344","","305","新竹縣新埔鎮旱坑里上樟路1段162號","每週5次","110年","114/04/14"
"24","新埔鎮內立社區發展協會","?文正","總幹事","0935867039","","305","新竹縣新埔鎮關埔路內立段203巷40號","每週5次","106年","114/04/14"
"25","新埔鎮新北社區發展協會","陳慧玲","總幹事","0963729381","","305","新竹縣新埔鎮新北里6鄰45-3號","每週2","112年","114/04/14"
"26","中華民國老人福利協進會新竹縣分會新埔鎮支會","朱淑惠","照服員","0985334649","","305","新竹縣新埔鎮田新里10鄰文德路三段248巷1號","每週5次","110年","114/04/14"
"27","新埔鎮上寮社區發展協會","陳坦燮","志工隊長","0955687518","","305","新竹縣新埔鎮上寮里義民路二段366號","每週5次","106年","114/04/14"
"28","新埔鎮鹿鳴社區發展協會","廖訓文","理事長","0910171180","","305","新竹縣新埔鎮鹿鳴里5鄰35之5號","每週5次","106年","114/04/14"
"29","財團法人福智慈善基金會下公館分會","鍾麗華","關懷班長","0922236376","","310","新竹縣竹東鎮上館里惠安街189巷27號(竹東惠安宮)","每週3 (一般據點)","108年","114/04/14"
"30","竹東鎮柯湖社區發展協會","呂建宏","理事長","0919969892","","310","新竹縣竹東鎮柯湖里柯湖路三段291號","每週4","113年","114/04/14"
"31","竹東鎮員山社區發展協會","彭特森","理事長","0936118798","","310","新竹縣竹東鎮員山里下員山路255號","每週4","113年","114/04/14"
"32","慈濟竹東共修處","陳惠仙","承辦人","0963666198","","310","新竹縣竹東鎮大鄉里18鄰文林路168號","每週1、5","113年","114/04/14"
"33","竹東鎮軟橋社區發展協會","彭松枝","理事長","0910961621","","310","新竹縣竹東鎮軟橋里1鄰68號","每週2、3、4","100年","114/04/14"
"34","社團法人台灣築心全人生命教育關懷協會","黃增威","社工","0933795812","","310","新竹縣竹東鎮頭重里17鄰竹中路36-1號","每週5次","105年","114/04/14"
"35","竹東鎮森林環保協會","林子丞","理事長","0932291876","","310","新竹縣竹東鎮榮華里民德路148號","每週5次","107年","114/04/14"
"36","竹東鎮油車窩文化協會","羅晉弘","照服員","0915338803","","310","新竹縣竹東鎮五豐里五豐街9號","每週5次","107年","114/04/14"
"37","全齡文教發展協會","李芬蘭","照服員","0930879158","","310","新竹縣竹東鎮上坪里6鄰上坪48號","每週5次","109年","114/04/14"
"38","竹東鎮振興客家文化發展協會","范振東","總幹事","0911242998","","310","新竹縣竹東鎮三重里中興路1段295巷39號/竹東鎮三重路3巷10號(萬善祠廣場)","每週5次","114年","114/04/14"
"39","竹東鎮東寧社區發展協會","彭立傑","理事長","0972132605","","310","新竹縣竹東鎮中豐路一段90號一樓","週5","114年","114/04/14"
"40","竹東鎮上館社區發展協會","黃肇欽","理事長","0936459491","","310","新竹縣竹東鎮上館里5鄰資源街20巷1號","週3","114年","114/04/14"
"41","財團法人福智慈善基金會橫山分會","謝瑞滿","班長","0926083652","","312","新竹縣橫山鄉橫山村3鄰96號","每週5(一般據點)","108年","114/04/14"
"42","橫山鄉大肚社區發展協會","溫曉娟","承辦人","0937829220","","312","新竹縣橫山鄉大肚村永昌街53號","每週2","110年","114/04/14"
"43","橫山鄉田寮社區發展協會","梁少枝","理事長","0937154767","","312","新竹縣橫山鄉田寮村8鄰田洋街132號","每週4","95年","114/04/14"
"44","橫山鄉福興社區發展協會","黃兆華","理事長","0928884979","","312","新竹縣橫山鄉福興村8鄰八十分37號","每週2","95年","114/04/14"
"45","社團法人新竹縣智障福利協進會","羅豔珠","總幹事","0910005914","","312","新竹縣橫山鄉橫山村中豐路一段172號","每週5次","108年","114/04/14"
"46","峨眉鄉富興社區發展協會","楊文瑞","理事長","0937176262","","315","新竹縣峨眉鄉富興村1鄰33號","每週2、4","112年","114/04/14"
"47","無負擔農村生活產業發展協會","曾仁炫","總幹事","0937829142","","315","新竹縣峨眉鄉湖光村1鄰28號","每週5次","103年","114/04/14"
"48","峨眉鄉中盛社區發展協會","姜信鈞","理事長","0916764060","","315","新竹縣峨眉鄉中盛村5鄰283號","每週5次","107年","114/04/14"
"49","峨眉鄉湖光社區發展協會","徐春英","理事長","0933516413","","315","新竹縣峨眉鄉湖光村11鄰32號","每週2","114年","114/04/14"
"50","湖口鄉環保暨愛心關懷協會","徐元嬌","總幹事","0930490517","","303","新竹縣湖口鄉孝勢村忠孝路39號","每週5次","113年","114/04/14"
"51","湖口鄉長嶺社區發展協會","周德雨","執行長","0919265866","","303","新竹縣湖口鄉中平路2段267巷15號","每週1、3、5","109年","114/04/14"
"52","湖口鄉波羅社區發展協會","劉美玲","總幹事","0921981802","","303","新竹縣湖口鄉波羅村3鄰三元路2段62巷23弄15號","每週5次","94年","114/04/14"
"53","新竹縣知心會","池玫欣","理事長","0937992913","","303","新竹縣湖口鄉和愛路50號1樓","每週5次","95年","114/04/14"
"54","湖口鄉德盛社區發展協會","詹德貴","理事長","0933794535","","303","新竹縣湖口鄉德盛村16鄰德興路127巷13號","每週5次","96年","114/04/14"
"55","湖口鄉老人會","李國鋒","理事長","0933791878","","303","新竹縣湖口鄉德興路15巷32號","每週5次","95年","114/04/14"
"56","湖口鄉湖南社區發展協會","陳秀芬","助理","0908360727","","303","新竹縣湖口鄉湖南村八德路一段652巷2號","每週5次","100年","114/04/14"
"57","湖口鄉鳳凰社區發展協會","戴玉英","承辦人","0972793198","","303","新竹縣湖口鄉鳳凰村仁樂路16號","每週5次","110年","114/04/14"
"58","新竹縣社區學習照顧服務協會","楊炤文","理事長","0972242865","","303","新竹縣湖口鄉勝利村21鄰勝利路2段128號","每週5次","106年","114/04/14"
"59","寶山鄉山湖社區發展協會","潘月雯","理事長","0937829437","","308","新竹縣寶山鄉山湖村山湖路118號","每週1","106年","114/04/14"
"60","寶山鄉寶山社區發展協會","李紘駐","理事長","0932276911","","308","新竹縣寶山鄉寶山村新湖路一段270號","每週3、4","108年","114/04/14"
"61","寶山鄉雙溪社區發展協會","江為鎮","理事長","0910156149","","308","新竹縣寶山鄉雙園路二段347號","每週4(一般據點)","108年","114/04/14"
"62","寶山鄉新城社區發展協會","林書存","總幹事","035762295","","308","新竹縣寶山鄉寶新路2段251巷25號","每週5次","95年","114/04/14"
"63","新豐鄉福興社區發展協會","徐逸欣","理事長","0937402166","","304","新竹縣新豐鄉福興村圓山子98號","週1","107年","114/04/14"
"64","新豐鄉新豐社區發展協會","程靜芬","志工班長","0928883587","","304","新竹縣新豐鄉新豐村池府路156號(新豐鄉池和宮)","每週1、3、5","110年","114/04/14"
"65","新竹縣好厝邊全人關懷協會","施立合","理事長","0912234931","","304","新竹縣新豐鄉重興村新庄路15鄰92號","每週2、3、5","111年","114/04/14"
"66","新竹縣愛心物資集發協會(崎頂村)","林青瑩","負責人","0926570803","","304","新竹縣新豐鄉崎頂村建興路2段678巷60之28號","每週2、3、4","112年","114/04/14"
"67","社團法人新竹縣馨圓健康照護教育與服務協會(松林村)","蘇明宏","承辦人","0986392921","","304","新竹縣新豐鄉松林村道化街52巷27號","每週5次","112年","114/04/14"
"68","新豐鄉瑞興社區發展協會","何寬森","總幹事","0936667118","","304","新竹縣新豐鄉瑞興村4鄰63號","每週5次","98年","114/04/14"
"69","新竹縣銀享社會福利協會(新豐)","邱舒妤","社工","035572298","","304","新竹縣新豐鄉山崎村福德街40號","每週5次","108年","114/04/14"
"70","新竹縣銀享社會福利協會(後湖據點)","?宇涵","照服員","0963566512","","304","新竹縣新豐鄉後湖子108號","每週5次","111年","114/04/14"
"71","新豐鄉中崙社區發展協會","余冠宏","理事長","0936168108","","304","新竹縣新豐鄉中崙村2鄰37號","每週5次","97年","114/04/14"
"72","新豐鄉埔和社區發展協會","陳全順","理事長","0952699258","","304","新竹縣新豐鄉埔和村埔頂126-1號","每週2、4","114年","114/04/14"
"73","關西鎮東平社區發展協會","劉邦河","理事長","0910387597","","306","新竹縣關西鎮東平里5鄰28-2號(太平國小旁)","每週5次","113年","114/04/14"
"74","關西鎮東興社區發展協會","彭文君","理事長","0932763831","","306","新竹縣關西鎮東興里博愛路31號","每週3、4","95年","114/04/14"
"75","關西鎮上林社區發展協會","陳詠佳","總幹事","0972207182","","306","新竹縣關西鎮上林里11鄰11-5號","每週3、5","96年","114/04/14"
"76","關西鎮下橫坑文化產業發展協會","江傳達","總幹事","0979651551","","306","新竹縣關西鎮新力里9之5號","每週2、3、4","109年","114/04/14"
"77","關西鎮東山社區發展協會","詹碧玉","理事長","0932116912","","306","新竹縣關西鎮東山里5鄰35之2號","每週2、3、5","102年","114/04/14"
"78","關西鎮東安社區發展協會","王世?","承辦人","0939171055","","306","新竹縣關西鎮東安里東山街48巷8號","每週2、3、4","98年","114/04/14"
"79","關西鎮仁安社區發展協會","詹玉琴","理事長","0921865513","","306","新竹縣關西鎮仁安里4鄰牛欄河41號","每週5次","96年","114/04/14"
"80","關西鎮南山社區發展協會","羅際君","總幹事","0937813751","","306","新竹縣關西鎮南山里6鄰48號","每週5次","96年","114/04/14"
"81","關西鎮石光社區發展協會","嚴明玉","總幹事","0932286161","","306","新竹縣關西鎮石光里6鄰308巷46號","每週5次","97年","114/04/14"
"82","關西鎮金山社區發展協會","蔡佩樺","總幹事","0938022076","","306","新竹縣關西鎮金山里11鄰114之1號","每週五天","106年","114/04/14"
"83","關西鎮新富社區發展協會","詹琇如","照服員","0966887411","","306","新竹縣關西鎮新富里1鄰2-3號","每週5次","105年","114/04/14"
"84","關西鎮東光社區發展協會","郭明芳","會計","0937133097","","306","新竹縣關西鎮東光里10鄰19號","每週5次","109年","114/04/14"
"85","關西鎮錦山社區發展協會","陳文廣","會計","0936688158","","306","新竹縣關西鎮錦山里2鄰16之7號","每週5次","108年","114/04/14"
"86","關西鎮南和社區發展協會","宋昌德","總幹事","0926962769","","306","新竹縣關西鎮南和里6鄰下南片69號","每週5次","95年","114/04/14"
"87","關西鎮北山社區發展協會","黃琦崴","照服員","0983210720","","306","新竹縣關西鎮北山里8鄰店子岡13號","每週5次","95年","114/04/14"
"88","財團法人臺灣省天主教會新竹教區","李秀英","組長","0933118450","","306","新竹縣關西鎮石光里8鄰356號","每週5次","106年","114/04/14"
"89","關西鎮大同社區發展協會","尤秀萍","照服員","0980105604","","306","新竹縣關西鎮大同里7鄰49號","每週5次","107年","114/04/14"
"90","關西鎮玉山社區發展協會","黃輝鳳","理事長","0907508307","","306","新竹縣關西鎮玉山里2鄰赤柯山12號","每週3","114年","114/04/14"
"91","社區居家關懷協會-大林村","溫庭枋","承辦人","0911492826","","314","新竹縣北埔鄉大林村6鄰小分林11號之2","每週4","109年","114/04/14"
"92","北埔鄉北埔社區發展協會","胡文寬","理事長","0929041789","","314","新竹縣北埔鄉南興村光復街28號3樓","每週1、3、5","113年","114/04/14"
"93","北埔鄉埔尾社區發展協會","陳慶德","理事長","0935988158","","314","新竹縣北埔鄉埔尾村埔心街1號","每週3、4","103年","114/04/14"
"94","北埔鄉南外社區發展協會","葉貴霖","總幹事","0933975657","","314","新竹縣北埔鄉南坑村9鄰1之1號","每週3、5","107年","114/04/14"
"95","北埔鄉南興社區發展協會","彭瑞麟","總幹事","0933266432","","314","新竹縣北埔鄉南興村光復街28號","每週5次","110年","114/04/14"
"96","北埔鄉南埔社區發展協會","陳瓊嬅","照服員","0978799798","","314","新竹縣北埔鄉南埔村二鄰17號","每週5次","100年","114/04/14"
"97","北埔鄉水?社區發展協會","徐美玉","理事長","0926699346","","314","新竹縣北埔鄉水?村8鄰中豐路1巷9號","每週5次","110年","114/04/14"